frequency_hz,amplitude,amplitude_db
9300000.000,8.09318523188e-10,-181.837610393
9303125.000,5.31004258539e-10,-185.498039919
9306250.000,2.69440607323e-10,-191.390739025
9309375.000,3.18235791824e-11,-209.945019541
9312500.000,1.75257432999e-10,-195.126471074
9315625.000,3.45935281343e-10,-189.220102856
9318750.000,4.75167470274e-10,-186.463065972
9321875.000,5.58823819592e-10,-185.054501811
9325000.000,5.93758104238e-10,-184.527808992
9328125.000,5.77862647776e-10,-184.763507536
9331250.000,5.10105118362e-10,-185.846806375
9334375.000,3.90547055474e-10,-188.166532644
9337500.000,2.2034393935e-10,-193.137977809
9340625.000,1.72690102787e-12,-235.254651040
9343750.000,2.62033550375e-10,-191.632861974
9346875.000,5.66681132245e-10,-184.933224941
9350000.000,9.07043812372e-10,-180.847434700
9353125.000,1.27711909768e-09,-177.875372015
9356250.000,1.67017320059e-09,-175.544769785
9359375.000,2.07885249873e-09,-173.643526483
9362500.000,2.49530551731e-09,-172.057525463
9365625.000,2.91131351631e-09,-170.718220466
9368750.000,3.31842763958e-09,-169.581352960
9371875.000,3.70811049058e-09,-168.616946673
9375000.000,4.07187994161e-09,-167.804100711
9378125.000,4.40145295371e-09,-167.128078717
9381250.000,4.68888719194e-09,-166.578604313
9384375.000,4.92671825799e-09,-166.148845456
9387500.000,5.10809043211e-09,-165.834828454
9390625.000,5.22687891683e-09,-165.635151209
9393750.000,5.27780170458e-09,-165.550938619
9396875.000,5.25651934591e-09,-165.586034658
9400000.000,5.15972108239e-09,-165.747475485
9403125.000,4.98519599758e-09,-166.046355247
9406250.000,4.73188807722e-09,-166.499310725
9409375.000,4.39993429364e-09,-167.131076180
9412500.000,3.99068508275e-09,-167.979050848
9415625.000,3.50670684303e-09,-169.102010783
9418750.000,2.95176633846e-09,-170.598360484
9421875.000,2.330797161e-09,-172.649910391
9425000.000,1.64984865703e-09,-175.651117848
9428125.000,9.16017985881e-10,-180.761919979
9431250.000,1.37366214031e-10,-197.242401425
9434375.000,6.77180419325e-10,-183.385912160
9437500.000,1.51794271247e-09,-176.374892370
9440625.000,2.37461265012e-09,-172.488144459
9443750.000,3.23638777136e-09,-169.798788969
9446875.000,4.09211390106e-09,-167.761045730
9450000.000,4.93043426214e-09,-166.142296546
